epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,142.044,0.65285,1.49288,2.85606,1.01566,0,0.29649,0.2359,0.22733,0.19408,0.29649,0.2359,0.22465,0.19023,0.56406,1.09705,2.63837,0.91148,0,0.000360588,0.000360588,0.000360588
2,282.48,0.6569,0.991,1.78818,1.01864,0,0.36685,0.51586,0.5136,0.43363,0.36891,0.50908,0.51119,0.41199,0.60086,1.11043,2.06539,0.93736,0,0.000716449,0.000716449,0.000716449
3,504.905,0.63237,0.95149,1.16377,0.98318,0,0.69822,0.63272,0.75952,0.62933,0.69001,0.63078,0.75076,0.59665,0.60329,1.13741,1.48341,0.93225,0,0.00105764,0.00105764,0.00105764
4,644.289,0.5968,0.90976,1.01051,0.97729,0,0.85158,0.73288,0.86479,0.73189,0.85166,0.72965,0.86715,0.73151,0.58912,0.95211,1.29028,0.96414,0,0.00104501,0.00104501,0.00104501
5,781.974,0.56258,0.8222,0.9033,0.95053,0,0.92162,0.86136,0.93368,0.81019,0.91685,0.86897,0.93899,0.79666,0.52228,0.86581,0.95677,0.91307,0,0.00102301,0.00102301,0.00102301
6,921.509,0.54754,0.79067,0.86905,0.9479,0,0.90426,0.93336,0.94899,0.80885,0.91417,0.94138,0.95721,0.80435,0.52717,0.80564,0.93644,0.93829,0,0.00100101,0.00100101,0.00100101
7,1060.86,0.55097,0.77455,0.81568,0.94251,0,0.92532,0.94509,0.96926,0.85712,0.9531,0.92196,0.97262,0.85385,0.48718,0.7454,0.82282,0.89449,0,0.000979013,0.000979013,0.000979013
8,1198.09,0.51524,0.73261,0.74225,0.92596,0,0.88283,0.91485,0.92671,0.79584,0.89674,0.91402,0.9361,0.7779,0.54979,0.97794,0.88605,0.92726,0,0.000957015,0.000957015,0.000957015
9,1416.47,0.50805,0.74286,0.74196,0.9352,0,0.91399,0.94215,0.95652,0.84631,0.91999,0.95271,0.96662,0.84403,0.47859,0.74909,0.83038,0.91398,0,0.000935018,0.000935018,0.000935018
10,1561.31,0.49744,0.75234,0.71191,0.92132,0,0.92778,0.93579,0.96093,0.84357,0.93358,0.93979,0.96753,0.84494,0.4975,0.73742,0.82915,0.92331,0,0.00091302,0.00091302,0.00091302
11,1680.89,0.47265,0.6807,0.66304,0.91096,0,0.93074,0.92841,0.96367,0.85035,0.95753,0.91201,0.97011,0.84877,0.45497,0.68854,0.74419,0.89688,0,0.000891022,0.000891022,0.000891022
12,1790.05,0.45697,0.68956,0.6432,0.90604,0,0.94719,0.94739,0.97007,0.8633,0.95149,0.94753,0.973,0.85483,0.43846,0.68565,0.68281,0.88871,0,0.000869024,0.000869024,0.000869024
13,1899.61,0.47184,0.68112,0.62831,0.9147,0,0.95765,0.95015,0.97513,0.86532,0.95985,0.95242,0.97696,0.86248,0.45724,0.66547,0.66246,0.87975,0,0.000847026,0.000847026,0.000847026
14,2009.46,0.46376,0.65653,0.62969,0.91276,0,0.95614,0.92715,0.97521,0.87073,0.94929,0.94693,0.97877,0.8748,0.46487,0.65069,0.68002,0.87831,0,0.000825029,0.000825029,0.000825029
15,2120.6,0.4424,0.60686,0.58813,0.89855,0,0.93737,0.94072,0.97806,0.86,0.94486,0.94663,0.97854,0.86157,0.4683,0.66586,0.67784,0.90257,0,0.000803031,0.000803031,0.000803031
16,2231.79,0.44429,0.63578,0.57492,0.90088,0,0.94071,0.94541,0.97673,0.87671,0.94515,0.94996,0.97817,0.86284,0.42654,0.71757,0.63193,0.88678,0,0.000781033,0.000781033,0.000781033
17,2343.21,0.43306,0.62868,0.56907,0.90437,0,0.95301,0.95354,0.97858,0.88137,0.95748,0.95808,0.98045,0.87434,0.44121,0.67991,0.60583,0.8861,0,0.000759035,0.000759035,0.000759035
18,2457.84,0.43429,0.63729,0.57486,0.89546,0,0.96171,0.95342,0.97535,0.88971,0.96431,0.96107,0.97988,0.8771,0.42455,0.62126,0.57927,0.87226,0,0.000737037,0.000737037,0.000737037
19,2568.79,0.4192,0.58104,0.54451,0.89336,0,0.94197,0.94297,0.9779,0.88387,0.95204,0.95232,0.97938,0.87219,0.43103,0.61741,0.61055,0.90623,0,0.00071504,0.00071504,0.00071504
20,2678.36,0.39912,0.62119,0.52533,0.8858,0,0.94163,0.95774,0.98096,0.89256,0.96025,0.95162,0.98166,0.88707,0.37799,0.61224,0.55248,0.87621,0,0.000693042,0.000693042,0.000693042
21,2789.6,0.4167,0.63138,0.51463,0.88584,0,0.97148,0.94146,0.98093,0.89622,0.9761,0.94601,0.98217,0.87799,0.38379,0.62113,0.54477,0.8686,0,0.000671044,0.000671044,0.000671044
22,2898.33,0.4023,0.57598,0.50418,0.88595,0,0.94019,0.95472,0.97827,0.88454,0.94468,0.95926,0.97827,0.8847,0.4288,0.58368,0.56476,0.87227,0,0.000649046,0.000649046,0.000649046
23,3007.84,0.39153,0.57189,0.49714,0.87504,0,0.95109,0.94529,0.97252,0.8873,0.95558,0.94971,0.97722,0.87657,0.40869,0.65474,0.547,0.87362,0,0.000627048,0.000627048,0.000627048
24,3118.74,0.39739,0.60086,0.48853,0.88427,0,0.94859,0.95597,0.97891,0.89978,0.95305,0.96051,0.9791,0.89234,0.37933,0.57206,0.53435,0.86386,0,0.000605051,0.000605051,0.000605051
25,3229.94,0.38282,0.5623,0.48706,0.8794,0,0.9684,0.94058,0.97789,0.90126,0.97197,0.94297,0.98282,0.88605,0.36514,0.58311,0.51713,0.86184,0,0.000583053,0.000583053,0.000583053
26,3340.19,0.39389,0.56645,0.4776,0.88444,0,0.94941,0.9536,0.97603,0.89112,0.94793,0.96438,0.98047,0.88031,0.39169,0.57282,0.53102,0.87426,0,0.000561055,0.000561055,0.000561055
